date,n_open,gross_pct,net_pct,beta_hold,olv_net_pct,dial_pit,armed_pit,beta_hat,spy_pct,book_usd,hedge_usd,hedge_at_hold_beta_usd
2026-07-15,2,12.071,12.071,0.267,12.071,29.56,0.0,0.03,0.4,-12.92,-0.0,-0.0
2026-07-16,2,11.65,11.65,0.256,11.65,32.74,0.0,0.03,-0.54,-3155.88,0.0,0.0
2026-07-17,7,34.387,28.258,0.687,23.852,36.02,0.0,0.04,-0.99,5243.51,0.0,0.0
2026-07-20,8,41.107,21.698,0.758,23.933,39.31,0.0,0.03,-0.16,592.24,0.0,0.0
2026-07-21,12,127.303,89.907,1.663,24.897,42.49,0.0,0.03,0.83,16270.4,-0.0,-0.0
2026-07-22,11,125.762,92.035,1.675,25.287,45.42,0.0,0.04,-0.12,3397.24,0.0,0.0
2026-07-23,9,105.858,85.307,1.354,13.04,48.15,0.0,0.04,-1.23,-11018.93,0.0,0.0
2026-07-24,4,22.443,3.834,0.421,13.138,50.39,1.0,0.06,0.1,671.75,-56.71,-1015.302
2026-07-27,7,34.733,-3.034,0.587,15.849,52.2,1.0,0.06,0.02,-1218.32,-10.26,-63.087
2026-07-28,12,57.16,-22.279,0.726,17.441,53.67,1.0,0.06,0.24,-8328.47,-113.7,-1056.106
2026-07-29,29,77.31,-45.635,0.732,15.838,54.99,1.0,0.06,-1.54,-18732.76,661.09,8390.593
2026-07-30,29,80.881,-62.15,0.229,9.365,55.96,1.0,0.1,1.68,40742.77,-1252.45,-9220.702
2026-07-31,18,54.698,-33.443,0.091,10.628,56.73,1.0,0.18,0.72,668.04,-973.58,-1237.994
2026-08-03,10,43.932,-4.984,-0.071,19.474,57.79,1.0,0.18,1.42,5669.87,-1903.36,-964.279
2026-08-04,7,18.517,18.517,0.127,18.517,59.29,1.0,0.19,1.8,3004.4,-2604.96,961.232
2026-08-05,6,17.304,17.304,0.102,17.304,61.01,1.0,0.19,-0.2,-2809.74,286.93,190.715
2026-08-06,6,17.161,17.161,0.102,17.161,62.98,1.0,0.19,-0.16,-889.43,228.32,121.993
2026-08-07,5,14.736,14.736,0.109,14.736,65.65,1.0,0.19,0.61,3629.89,-871.19,-464.934
2026-08-10,5,14.232,14.232,0.104,14.232,68.77,1.0,0.19,-0.03,-3776.66,41.96,24.59
2026-08-11,4,13.423,13.423,0.086,13.423,72.21,1.0,0.22,-0.32,686.02,524.57,248.842
2026-08-12,2,11.312,11.312,0.03,11.312,75.9,1.0,0.22,0.25,733.27,-410.86,-161.929
2026-08-13,1,9.529,9.529,-0.012,9.529,80.44,1.0,0.22,0.7,416.1,-1138.15,-156.748
2026-08-14,1,9.546,9.546,-0.012,9.546,85.19,1.0,0.22,-0.2,125.4,320.84,-17.988
2026-08-17,1,9.616,9.616,-0.007,9.616,89.44,1.0,0.23,-0.47,530.21,805.02,-40.783
2026-08-18,1,6.056,6.056,0.117,6.056,92.95,1.0,0.23,-0.68,-525.91,1152.06,-33.404
2026-08-19,3,22.955,22.955,0.306,22.955,95.67,1.0,0.23,0.21,-1959.68,-358.2,-183.623
2026-08-20,9,80.593,80.593,0.765,60.793,97.49,1.0,0.23,-0.84,-7032.86,1419.37,1930.322
2026-08-21,9,81.372,81.372,0.776,61.504,98.39,1.0,0.23,0.41,5845.59,-713.11,-2352.827
2026-08-24,14,83.467,83.467,1.16,83.467,98.57,1.0,0.24,-0.29,2769.34,520.26,1688.522
2026-08-25,15,96.331,96.331,1.165,96.331,98.33,1.0,0.24,0.32,4488.23,-569.73,-2784.409
2026-08-26,16,101.351,101.351,1.222,101.351,98.24,1.0,0.24,0.02,4739.36,-40.25,-174.76
2026-08-27,15,97.614,97.614,1.171,97.614,97.77,1.0,0.25,0.66,-6620.95,-1212.71,-6047.954
2026-08-28,15,96.159,96.159,1.145,96.159,97.07,1.0,0.24,-0.23,-10913.01,414.46,2020.256
2026-08-31,16,115.762,115.762,1.136,115.762,96.42,1.0,0.25,-0.3,-3523.49,557.02,2576.622
2026-09-01,16,115.157,115.157,1.116,115.157,96.1,1.0,0.25,-0.69,-4536.63,1290.84,5877.32
