Strategy,Tier,Ticker,symbol,Direction,sign,klass,Entry Date,Exit Date,Exit Type,Entry Price,etf_price,Shares_flat,etf_shares,signed_shares,notional,Risk_flat_750k,Tranche
Oversold Low Volume,Overflow,CINF,CINF,Long,1,single,2026-08-20,2026-09-01,Time,167.6166,167.6166,322,322,322,53972.5493,1406.2500,
Oversold Low Volume,Overflow,CMI,CMI,Long,1,single,2026-08-24,2026-09-01,Time,582.5091,582.5091,54,54,54,31455.4939,1406.2500,
Oversold Low Volume,Overflow,CRS,CRS,Long,1,single,2026-08-24,2026-09-01,Time,486.2370,486.2370,47,47,47,22853.1388,1406.2500,
Oversold Low Volume,Liquid,D,D,Long,1,single,2026-08-25,2026-09-01,Time,66.3263,66.3263,1387,1387,1387,91994.5092,1968.7500,
Oversold Low Volume,Liquid,D,D,Long,1,single,2026-08-31,2026-09-01,Time,64.9200,64.9200,2319,2319,2319,150549.4758,2756.2500,
Oversold Low Volume,Liquid,LUV,LUV,Long,1,single,2026-08-18,2026-09-01,Time,42.9820,42.9820,1069,1069,1069,45947.7182,1968.7500,
Oversold Low Volume,Liquid,LUV,LUV,Long,1,single,2026-08-19,2026-09-01,Time,42.1405,42.1405,1577,1577,1577,66455.6274,2756.2500,
Oversold Low Volume,Liquid,LUV,LUV,Long,1,single,2026-08-20,2026-09-01,Time,40.8600,40.8600,2268,2268,2268,92670.4814,3937.5000,
Oversold Low Volume,Overflow,MOD,MOD,Long,1,single,2026-08-24,2026-09-01,Time,187.7745,187.7745,94,94,94,17650.8001,1406.2500,
Oversold Low Volume,Overflow,ON,ON,Long,1,single,2026-08-24,2026-09-01,Time,73.3134,73.3134,313,313,313,22947.0917,1406.2500,
Oversold Low Volume,Overflow,POWI,POWI,Long,1,single,2026-08-20,2026-09-01,Time,54.8968,54.8968,629,629,629,34530.0788,2812.5000,
Oversold Low Volume,Overflow,POWI,POWI,Long,1,single,2026-08-24,2026-09-01,Time,53.9570,53.9570,637,637,637,34370.5864,2812.5000,
Oversold Low Volume,Liquid,UNH,UNH,Long,1,single,2026-08-19,2026-09-01,Time,386.6196,386.6196,161,161,161,62245.7611,1968.7500,
Oversold Low Volume,Liquid,UNH,UNH,Long,1,single,2026-08-20,2026-09-01,Time,386.2728,386.2728,235,235,235,90774.1178,2756.2500,
Oversold Low Volume,Overflow,WERN,WERN,Long,1,single,2026-08-26,2026-09-01,Time,37.3237,37.3237,889,889,889,33180.8132,1406.2500,
Oversold Low Volume,Overflow,WWD,WWD,Long,1,single,2026-08-24,2026-09-01,Time,340.3492,340.3492,96,96,96,32673.5216,1406.2500,
